Name,Description,Rating,Reviews,Images Links
Ujjwal Neupane,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",3,14,/images/test-sites/e-commerce/items/cart2.png
Prestigio Smar...,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",2,8,/images/test-sites/e-commerce/items/cart2.png
Prestigio Smar...,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",4,12,/images/test-sites/e-commerce/items/cart2.png
Aspire E1-510,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",3,2,/images/test-sites/e-commerce/items/cart2.png
Lenovo V110-15...,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",3,5,/images/test-sites/e-commerce/items/cart2.png
Lenovo V110-15...,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",2,6,/images/test-sites/e-commerce/items/cart2.png
Hewlett Packar...,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",1,12,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 3...,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",2,2,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire A3...,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",2,0,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",4,9,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 3...,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",4,10,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 3...,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",3,9,/images/test-sites/e-commerce/items/cart2.png
Asus VivoBook...,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",1,4,/images/test-sites/e-commerce/items/cart2.png
Asus VivoBook...,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",4,3,/images/test-sites/e-commerce/items/cart2.png
Lenovo ThinkPa...,"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",1,12,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 3...,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",4,10,/images/test-sites/e-commerce/items/cart2.png
Lenovo V110-15...,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",3,9,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",4,14,/images/test-sites/e-commerce/items/cart2.png
Asus VivoBook...,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",4,4,/images/test-sites/e-commerce/items/cart2.png
Packard 255 G2,"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",2,2,/images/test-sites/e-commerce/items/cart2.png
Asus EeeBook R...,"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",1,1,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 3...,"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",1,1,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",1,2,/images/test-sites/e-commerce/items/cart2.png
Acer Extensa 1...,"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",4,6,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",1,9,/images/test-sites/e-commerce/items/cart2.png
Lenovo V110-15...,"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",2,2,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire A3...,"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",3,9,/images/test-sites/e-commerce/items/cart2.png
Lenovo V110-15...,"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",1,7,/images/test-sites/e-commerce/items/cart2.png
Asus VivoBook...,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",3,1,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",3,5,/images/test-sites/e-commerce/items/cart2.png
Lenovo V510 Bl...,"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",3,8,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire ES...,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",3,6,/images/test-sites/e-commerce/items/cart2.png
Lenovo V510 Bl...,"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",2,9,/images/test-sites/e-commerce/items/cart2.png
Acer Swift 1 S...,"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",3,4,/images/test-sites/e-commerce/items/cart2.png
Dell Vostro 15,"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",4,14,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 3...,"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",4,2,/images/test-sites/e-commerce/items/cart2.png
Dell Vostro 15...,"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",1,9,/images/test-sites/e-commerce/items/cart2.png
Lenovo V510 Bl...,"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro",3,5,/images/test-sites/e-commerce/items/cart2.png
HP 250 G3,"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",2,13,/images/test-sites/e-commerce/items/cart2.png
Acer Spin 5,"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",2,0,/images/test-sites/e-commerce/items/cart2.png
HP 350 G1,"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",2,10,/images/test-sites/e-commerce/items/cart2.png
Aspire E1-572G,"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",1,2,/images/test-sites/e-commerce/items/cart2.png
Pavilion,"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",1,4,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire A5...,"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",2,9,/images/test-sites/e-commerce/items/cart2.png
Dell Inspiron...,"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",2,7,/images/test-sites/e-commerce/items/cart2.png
Asus VivoBook...,"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",1,2,/images/test-sites/e-commerce/items/cart2.png
ProBook,"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",4,8,/images/test-sites/e-commerce/items/cart2.png
Inspiron 15,"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",3,12,/images/test-sites/e-commerce/items/cart2.png
Asus ROG STRIX...,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",2,7,/images/test-sites/e-commerce/items/cart2.png
Acer Nitro 5 A...,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",1,0,/images/test-sites/e-commerce/items/cart2.png
Asus ROG STRIX...,"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",1,7,/images/test-sites/e-commerce/items/cart2.png
Lenovo ThinkPa...,"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",3,11,/images/test-sites/e-commerce/items/cart2.png
ThinkPad Yoga,"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",2,13,/images/test-sites/e-commerce/items/cart2.png
Lenovo ThinkPa...,"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro",4,14,/images/test-sites/e-commerce/items/cart2.png
Dell Inspiron...,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",1,7,/images/test-sites/e-commerce/items/cart2.png
MSI GL72M 7RDX,"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",4,1,/images/test-sites/e-commerce/items/cart2.png
MSI GL72M 7RDX,"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd",1,9,/images/test-sites/e-commerce/items/cart2.png
Asus ROG Strix...,"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",2,4,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",1,8,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home",3,4,/images/test-sites/e-commerce/items/cart2.png
Lenovo Legion...,"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home",4,1,/images/test-sites/e-commerce/items/cart2.png
Toshiba Porteg...,"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",1,0,/images/test-sites/e-commerce/items/cart2.png
Acer Predator...,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home",2,1,/images/test-sites/e-commerce/items/cart2.png
Acer Aspire 7...,"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home",2,4,/images/test-sites/e-commerce/items/cart2.png
Dell Inspiron...,"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",3,10,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro",4,14,/images/test-sites/e-commerce/items/cart2.png
Lenovo Legion...,"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",1,13,/images/test-sites/e-commerce/items/cart2.png
Asus AsusPro A...,"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",3,7,/images/test-sites/e-commerce/items/cart2.png
Acer Nitro 5 A...,"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home",3,14,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro",4,5,/images/test-sites/e-commerce/items/cart2.png
Dell Inspiron...,"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home",1,2,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",3,10,/images/test-sites/e-commerce/items/cart2.png
Lenovo Legion...,"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",3,11,/images/test-sites/e-commerce/items/cart2.png
MSI GP62M 7RDX...,"MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",1,11,/images/test-sites/e-commerce/items/cart2.png
Lenovo Yoga 72...,"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",2,12,/images/test-sites/e-commerce/items/cart2.png
Toshiba Porteg...,"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",1,7,/images/test-sites/e-commerce/items/cart2.png
Acer TravelMat...,"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro",1,0,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home",3,6,/images/test-sites/e-commerce/items/cart2.png
ThinkPad T540p,"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",1,2,/images/test-sites/e-commerce/items/cart2.png
MSI GS63 7RD S...,"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home",1,2,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",3,5,/images/test-sites/e-commerce/items/cart2.png
Acer Predator...,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home",3,14,/images/test-sites/e-commerce/items/cart2.png
MSI GL62M 7REX,"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",1,7,/images/test-sites/e-commerce/items/cart2.png
MSI GL62M 7REX...,"MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",2,12,/images/test-sites/e-commerce/items/cart2.png
Lenovo Yoga 91...,"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",3,7,/images/test-sites/e-commerce/items/cart2.png
Toshiba Porteg...,"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",4,13,/images/test-sites/e-commerce/items/cart2.png
Lenovo IdeaPad...,"Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",4,0,/images/test-sites/e-commerce/items/cart2.png
Acer Predator...,"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home",1,9,/images/test-sites/e-commerce/items/cart2.png
ThinkPad Yoga,"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",3,2,/images/test-sites/e-commerce/items/cart2.png
Asus VivoBook...,"Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd",2,10,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux",2,0,/images/test-sites/e-commerce/items/cart2.png
Asus ZenBook U...,"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd",1,14,/images/test-sites/e-commerce/items/cart2.png
ThinkPad X230,"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",3,10,/images/test-sites/e-commerce/items/cart2.png
Asus ROG Strix...,"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd",4,7,/images/test-sites/e-commerce/items/cart2.png
Apple MacBook...,"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG",4,8,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro",1,13,/images/test-sites/e-commerce/items/cart2.png
Hewlett Packar...,"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",3,8,/images/test-sites/e-commerce/items/cart2.png
Dell XPS 13,"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",3,4,/images/test-sites/e-commerce/items/cart2.png
Toshiba Porteg...,"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",1,6,/images/test-sites/e-commerce/items/cart2.png
MSI GL62VR 7RF...,"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",3,1,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",3,8,/images/test-sites/e-commerce/items/cart2.png
ThinkPad X240,"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",3,12,/images/test-sites/e-commerce/items/cart2.png
Hewlett Packar...,"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",1,2,/images/test-sites/e-commerce/items/cart2.png
Apple MacBook...,"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG",1,0,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro",1,6,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home",2,11,/images/test-sites/e-commerce/items/cart2.png
Dell Latitude...,"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux",3,3,/images/test-sites/e-commerce/items/cart2.png
Apple MacBook...,"Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS",2,11,/images/test-sites/e-commerce/items/cart2.png
Lenovo ThinkPa...,"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",1,5,/images/test-sites/e-commerce/items/cart2.png
Lenovo ThinkPa...,"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",2,12,/images/test-sites/e-commerce/items/cart2.png
Toshiba Porteg...,"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro",1,11,/images/test-sites/e-commerce/items/cart2.png
Asus ASUSPRO B...,"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",1,4,/images/test-sites/e-commerce/items/cart2.png
Lenovo Legion...,"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",3,8,/images/test-sites/e-commerce/items/cart2.png
Asus ROG Strix...,"Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd",3,10,/images/test-sites/e-commerce/items/cart2.png
Asus ROG Strix...,"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",4,7,/images/test-sites/e-commerce/items/cart2.png
Asus ROG Strix...,"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",1,8,/images/test-sites/e-commerce/items/cart2.png
Asus ROG Strix...,"Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home",3,8,/images/test-sites/e-commerce/items/cart2.png
